"","temperature","dewpoint_temperature","soil_temperature_level_1"
"1918",297.432159423828,265.549621582031,299.959503173828
"1919",294.153869628906,276.799560546875,299.013519287109
"1920",294.845306396484,274.416717529297,298.688812255859
"1921",294.586853027344,277.607147216797,299.499786376953
"1922",294.249969482422,278.295867919922,299.469207763672
"1923",297.226409912109,273.583099365234,300.256134033203
"1924",300.325958251953,270.998931884766,301.673126220703
"1925",301.258575439453,271.360748291016,303.032745361328
"1926",295.181365966797,266.628936767578,299.729888916016
"1927",293.093353271484,263.738342285156,296.55517578125
"1928",293.822723388672,270.011627197266,298.093444824219
"1929",293.4326171875,272.248931884766,297.188537597656
"1930",295.961639404297,267.555877685547,298.411468505859
"1931",297.360015869141,271.538055419922,300.615386962891
"1932",294.827789306641,273.692993164062,299.224670410156
"1933",292.752044677734,277.813934326172,296.134063720703
"1934",297.829010009766,269.487518310547,300.150909423828
"1935",301.305084228516,271.168670654297,303.90966796875
"1936",302.015777587891,271.322845458984,305.482269287109
"1937",297.815704345703,274.219818115234,302.879669189453
"1938",297.247650146484,274.09375,301.934051513672
"1939",298.331451416016,274.2880859375,301.756591796875
"1940",300.634490966797,275.316467285156,304.263458251953
"1941",303.422454833984,274.346160888672,306.967742919922
"1942",303.818695068359,274.691864013672,307.453460693359
"1943",304.134124755859,275.144256591797,307.961761474609
"1944",303.009155273438,274.693023681641,307.110168457031
"1945",301.255126953125,275.575927734375,305.962554931641
"1946",293.552734375,280.189849853516,298.059967041016
"1947",295.942932128906,277.263122558594,301.525970458984
"1948",298.342926025391,272.796600341797,302.415802001953
"1949",298.899749755859,272.588928222656,303.014678955078
"1950",301.380889892578,271.330963134766,305.502227783203
"1951",301.2158203125,269.363250732422,304.890045166016
"1952",297.473724365234,275.428955078125,302.909576416016
"1953",295.076568603516,278.868560791016,301.481170654297
"1954",297.50927734375,280.237854003906,303.214019775391
"1955",299.742858886719,279.307525634766,304.829254150391
"1956",297.216033935547,280.329071044922,302.867767333984
"1957",297.295623779297,280.910736083984,303.033172607422
"1958",299.446533203125,279.8994140625,305.231201171875
"1959",300.934326171875,280.067718505859,306.337127685547
"1960",303.399383544922,279.576019287109,308.33203125
"1961",304.231109619141,277.077941894531,308.12841796875
"1962",301.055053710938,276.468597412109,305.941314697266
"1963",293.395965576172,275.828887939453,299.390808105469
"1964",296.297332763672,273.333343505859,301.651397705078
"1965",297.254669189453,275.779632568359,302.598388671875
"1966",292.440277099609,276.243988037109,297.737243652344
"1967",293.208099365234,276.613403320312,297.873748779297
"1968",291.426116943359,277.095458984375,296.770965576172
"1969",291.388732910156,276.386993408203,296.0908203125
"1970",294.966339111328,275.936737060547,299.489929199219
"1971",298.972625732422,272.268829345703,303.9091796875
"1972",297.979095458984,273.814422607422,302.763610839844
"1973",292.908233642578,276.923248291016,299.288238525391
"1974",295.371124267578,273.842742919922,301.060333251953
"1975",299.699005126953,274.995483398438,304.884185791016
"1976",302.131561279297,274.909423828125,306.865173339844
"1977",302.427154541016,274.280914306641,307.266021728516
"1978",301.843170166016,274.481140136719,306.706939697266
"1979",300.741241455078,275.038726806641,306.028076171875
"1980",302.118225097656,274.171173095703,307.942840576172
"1981",303.442047119141,275.331939697266,308.973693847656
"1982",305.467315673828,277.446624755859,309.988311767578
"1983",305.827728271484,277.68896484375,310.272857666016
"1984",304.884185791016,279.112152099609,309.711578369141
"1985",304.053497314453,276.271514892578,309.634490966797
"1986",305.964660644531,277.211029052734,311.150848388672
"1987",307.474395751953,271.026000976562,311.545684814453
"1988",309.35205078125,268.747039794922,312.562103271484
"1989",309.899017333984,273.079254150391,313.522338867188
"1990",310.300048828125,276.222381591797,314.597534179688
"1991",307.000762939453,274.469482421875,311.828338623047
"1992",306.770690917969,278.980194091797,311.652740478516
"1993",307.50341796875,278.424865722656,312.591094970703
"1994",306.515716552734,276.63916015625,311.925323486328
"1995",305.868682861328,279.448333740234,312.088500976562
"1996",305.945037841797,275.896087646484,311.976287841797
"1997",306.691772460938,276.776672363281,311.531646728516
"1998",305.0146484375,280.569915771484,310.352630615234
"1999",303.146850585938,278.581939697266,309.4423828125
"2000",304.302001953125,265.449951171875,308.959747314453
"2001",305.332672119141,268.843383789062,309.226501464844
"2002",305.877319335938,272.344909667969,310.597961425781
"2003",304.711151123047,273.954956054688,308.974578857422
"2004",304.405731201172,271.34716796875,309.206390380859
"2005",305.485321044922,268.027770996094,310.427856445312
"2006",307.200653076172,272.748016357422,310.89404296875
"2007",308.381256103516,267.709228515625,312.160919189453
"2008",308.778411865234,272.209991455078,313.264526367188
"2009",308.834014892578,271.722839355469,313.143218994141
"2010",307.338470458984,270.199005126953,311.627960205078
"2011",306.840667724609,271.324249267578,311.202789306641
"2012",306.927093505859,274.687377929688,311.615203857422
"2013",307.131072998047,275.977813720703,312.435394287109
"2014",307.220550537109,274.806030273438,311.700225830078
"2015",305.923431396484,273.332702636719,310.256134033203
"2016",305.963958740234,272.228363037109,310.872161865234
"2017",307.910003662109,270.883056640625,312.840484619141
"2018",310.13525390625,274.176849365234,314.728271484375
"2019",311.039672851562,281.03271484375,314.580352783203
"2020",312.056274414062,281.350616455078,316.856567382812
"2021",310.491851806641,288.162475585938,315.744384765625
"2022",312.23974609375,282.72607421875,317.012939453125
"2023",311.830657958984,272.085083007812,315.99560546875
"2024",309.947326660156,284.502746582031,315.059906005859
"2025",308.718017578125,280.647735595703,314.212493896484
"2026",309.565704345703,272.462768554688,314.338684082031
"2027",308.39404296875,271.223602294922,312.799285888672
"2028",309.173400878906,283.429046630859,313.813354492188
